                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.5438,                 1.9133,                 1.8158,                0.41809,                0.36719,                0.32636,                0.12477,                 2.2506,                 2.3413,                 2.6227,              0.0013796,              0.0013796,              0.0013796
                     49,                 1.5843,                 1.9324,                 1.8448,                0.39674,                  0.375,                0.28458,                0.10551,                 2.1259,                 2.4253,                 2.6726,              0.0013664,              0.0013664,              0.0013664
                     50,                 1.6073,                 1.8833,                 1.8389,                0.27297,                0.41406,                0.24157,                0.09725,                 2.0944,                 2.9364,                 2.5915,              0.0013532,              0.0013532,              0.0013532
                     51,                 1.5017,                 1.8773,                 1.7691,                0.31095,                0.17188,                0.12899,                0.05009,                 2.3291,                  3.607,                 2.7129,                0.00134,                0.00134,                0.00134
                     52,                 1.4702,                 1.8331,                 1.7566,                0.31743,                0.28125,                0.14719,                0.05674,                 2.3558,                 2.7993,                 2.7421,              0.0013268,              0.0013268,              0.0013268
                     53,                 1.4836,                 1.8128,                 1.7523,                 0.3777,                0.34616,                0.22947,                 0.0791,                 2.2251,                 2.4922,                 2.5896,              0.0013136,              0.0013136,              0.0013136
                     54,                 1.5109,                 1.8521,                 1.7871,                0.38189,                0.36719,                0.27614,                 0.1036,                 2.2508,                 2.4533,                 2.5247,              0.0013004,              0.0013004,              0.0013004
                     55,                 1.5348,                 1.8266,                 1.7559,                0.32588,                 0.3125,                0.23227,                0.09001,                 2.3087,                 2.5336,                 2.5391,              0.0012872,              0.0012872,              0.0012872
                     56,                 1.5633,                 1.7471,                 1.7516,                0.40493,                0.35088,                 0.2311,                0.08107,                 2.3206,                 2.4163,                 2.5686,               0.001274,               0.001274,               0.001274
                     57,                 1.4808,                 1.7199,                 1.6956,                0.31731,                0.39844,                0.22313,                0.07722,                 2.2939,                 2.4424,                  2.618,              0.0012608,              0.0012608,              0.0012608
                     58,                 1.4863,                 1.7524,                 1.6911,                0.40823,                0.35156,                0.22533,                0.08263,                 2.2896,                 2.4145,                  2.582,              0.0012476,              0.0012476,              0.0012476
                     59,                 1.4623,                 1.6819,                 1.6612,                0.32935,                0.39133,                  0.224,                0.07883,                 2.3601,                 2.3872,                 2.6613,              0.0012344,              0.0012344,              0.0012344
                     60,                 1.4895,                 1.6935,                 1.7041,                0.39564,                0.35156,                0.28005,                0.10473,                 2.2352,                 2.2982,                 2.5735,              0.0012212,              0.0012212,              0.0012212
                     61,                 1.4146,                 1.6386,                 1.7112,                0.40542,                0.36719,                0.29256,                0.12278,                 2.1112,                 2.3193,                 2.6006,               0.001208,               0.001208,               0.001208
                     62,                 1.4557,                 1.7048,                 1.7248,                0.40325,                0.32031,                 0.2692,                0.10482,                 2.1944,                 2.5296,                 2.6501,              0.0011948,              0.0011948,              0.0011948
                     63,                 1.4553,                  1.713,                 1.7511,                0.33502,                0.36719,                0.27151,                0.11059,                 2.1919,                 2.5239,                 2.6807,              0.0011816,              0.0011816,              0.0011816
                     64,                 1.4482,                 1.6704,                 1.7207,                0.38315,                0.30469,                0.25602,                0.11408,                 2.2041,                 2.3724,                 2.6296,              0.0011684,              0.0011684,              0.0011684
                     65,                  1.474,                 1.6885,                 1.7444,                0.45731,                0.33576,                 0.2708,                0.11012,                 2.1814,                 2.2856,                 2.6139,              0.0011552,              0.0011552,              0.0011552
                     66,                 1.4005,                 1.5493,                 1.6225,                0.40292,                0.41406,                0.28416,                0.12346,                 2.1052,                  2.237,                 2.5496,               0.001142,               0.001142,               0.001142
                     67,                 1.4228,                 1.6291,                 1.6812,                0.46147,                0.41406,                0.30498,                 0.1257,                 2.0852,                 2.2331,                 2.5147,              0.0011288,              0.0011288,              0.0011288
                     68,                 1.4175,                 1.6374,                 1.6719,                0.40644,                0.39844,                0.31726,                0.13383,                 2.1032,                  2.262,                  2.457,              0.0011156,              0.0011156,              0.0011156
                     69,                  1.351,                 1.6036,                 1.6704,                0.46789,                0.38472,                0.34266,                0.14161,                 2.1772,                  2.259,                 2.5112,              0.0011024,              0.0011024,              0.0011024
                     70,                 1.4522,                 1.6759,                 1.7252,                0.42549,                0.40625,                 0.3304,                0.13315,                 2.1743,                 2.3667,                 2.5581,              0.0010892,              0.0010892,              0.0010892
                     71,                 1.2666,                 1.5046,                 1.5425,                0.47931,                0.39844,                 0.3288,                0.12519,                 2.1581,                 2.1828,                 2.5228,               0.001076,               0.001076,               0.001076
                     72,                 1.4422,                 1.6484,                 1.6723,                0.40792,                0.36719,                0.30277,                0.12268,                 2.1174,                 2.2644,                 2.4701,              0.0010628,              0.0010628,              0.0010628
                     73,                  1.363,                 1.5713,                 1.6366,                0.50583,                0.35986,                0.34841,                0.14281,                 2.0011,                 2.1933,                 2.4089,              0.0010496,              0.0010496,              0.0010496
                     74,                 1.3828,                 1.6366,                 1.6503,                0.50131,                0.39844,                0.35861,                0.15829,                 1.9921,                 2.1155,                  2.444,              0.0010364,              0.0010364,              0.0010364
                     75,                 1.3342,                  1.578,                 1.6592,                0.52872,                  0.375,                0.37117,                0.16773,                 2.0068,                 2.0606,                  2.471,              0.0010232,              0.0010232,              0.0010232
                     76,                 1.3159,                 1.5494,                 1.6097,                0.54473,                0.38281,                0.36345,                0.16211,                 2.0678,                 2.0856,                 2.5123,                0.00101,                0.00101,                0.00101
                     77,                  1.304,                 1.5166,                 1.5718,                0.60371,                0.36719,                0.33803,                0.15076,                 2.0921,                 2.1789,                 2.5769,              0.0009968,              0.0009968,              0.0009968
                     78,                 1.3427,                 1.5537,                 1.5923,                0.43341,                0.44531,                0.38749,                0.15024,                 2.1409,                 2.0486,                 2.4638,              0.0009836,              0.0009836,              0.0009836
                     79,                 1.2907,                 1.5031,                 1.5638,                  0.501,                 0.4375,                0.38226,                0.14694,                 2.1218,                 2.0559,                 2.4821,              0.0009704,              0.0009704,              0.0009704
                     80,                 1.4344,                 1.5592,                 1.6898,                0.46752,                0.45958,                0.37852,                0.15643,                 2.0521,                 2.0468,                 2.4568,              0.0009572,              0.0009572,              0.0009572
                     81,                 1.2673,                  1.461,                 1.5471,                0.48635,                0.42969,                0.35781,                0.16012,                 1.9867,                 2.0846,                 2.3873,               0.000944,               0.000944,               0.000944
                     82,                 1.3174,                 1.4673,                  1.552,                0.47667,                0.44531,                0.34909,                0.14423,                 2.0185,                  2.249,                 2.3859,              0.0009308,              0.0009308,              0.0009308
                     83,                 1.2915,                 1.3599,                 1.5828,                0.54012,                0.38281,                0.32469,                0.13315,                 2.0954,                 2.3225,                 2.4232,              0.0009176,              0.0009176,              0.0009176
                     84,                 1.2277,                 1.3478,                 1.5537,                0.50476,                0.38281,                0.32157,                0.12499,                 2.1434,                 2.2698,                 2.4474,              0.0009044,              0.0009044,              0.0009044
                     85,                 1.2951,                 1.4525,                 1.5571,                 0.4202,                0.39062,                0.29849,                0.12007,                 2.1421,                 2.2545,                 2.4337,              0.0008912,              0.0008912,              0.0008912
                     86,                 1.3136,                 1.4259,                 1.5854,                0.47757,                  0.375,                0.34257,                0.13009,                 2.1286,                 2.2065,                 2.4158,               0.000878,               0.000878,               0.000878
